,dataset_name,method,theta,max,SSE,Total_time
102,Syn_n_50000_d_2_seed_3,asc,1.05,20.0,822435.0897294114,26.76484179496765
103,Syn_n_50000_d_2_seed_3,asc,1.05,50.0,822431.6283125555,28.121729135513306
104,Syn_n_50000_d_2_seed_3,asc,1.1,5.0,822455.1609691456,12.078382968902588
105,Syn_n_50000_d_2_seed_3,asc,1.1,10.0,822438.0568324714,13.023133754730225
106,Syn_n_50000_d_2_seed_3,asc,1.1,20.0,822435.0897294114,14.83834958076477
107,Syn_n_50000_d_2_seed_3,asc,1.1,50.0,822431.6283125557,15.796808004379272
108,Syn_n_50000_d_2_seed_3,asc,1.2,5.0,822455.1609691456,5.121275424957275
109,Syn_n_50000_d_2_seed_3,asc,1.2,10.0,822431.6283125568,7.157080173492432
110,Syn_n_50000_d_2_seed_3,asc,1.2,20.0,822435.0897294114,9.254252910614014
111,Syn_n_50000_d_2_seed_3,asc,1.2,50.0,822431.6283125557,10.260056734085083
112,Syn_n_50000_d_2_seed_3,asc,1.5,5.0,822455.0483160268,2.66786527633667
113,Syn_n_50000_d_2_seed_3,asc,1.5,10.0,822435.0897294111,4.430148363113403
114,Syn_n_50000_d_2_seed_3,asc,1.5,20.0,822435.0897294111,5.5660834312438965
115,Syn_n_50000_d_2_seed_3,asc,1.5,50.0,822431.6283125557,6.856694221496582
116,Syn_n_50000_d_2_seed_3,asc,2.0,5.0,822455.0483160267,1.9008796215057373
117,Syn_n_50000_d_2_seed_3,asc,2.0,10.0,822435.0897294116,3.0398361682891846
118,Syn_n_50000_d_2_seed_3,asc,2.0,20.0,822435.0897294126,3.98138689994812
119,Syn_n_50000_d_2_seed_3,asc,2.0,50.0,822431.6283125557,4.850029230117798
120,Syn_n_50000_d_2_seed_3,asc,5.0,5.0,822461.5497485219,1.5847618579864502
121,Syn_n_50000_d_2_seed_3,asc,5.0,10.0,822432.8580627445,2.116339921951294
122,Syn_n_50000_d_2_seed_3,asc,5.0,20.0,822432.8580627457,2.482360601425171
123,Syn_n_50000_d_2_seed_3,asc,5.0,50.0,822434.672190685,2.827469825744629
124,Syn_n_50000_d_2_seed_3,asc,10.0,5.0,822476.1999150247,1.2855615615844727
125,Syn_n_50000_d_2_seed_3,asc,10.0,10.0,822431.8166342848,1.7144179344177246
126,Syn_n_50000_d_2_seed_3,asc,10.0,20.0,822432.8580627444,1.9547715187072754
127,Syn_n_50000_d_2_seed_3,asc,10.0,50.0,822434.6721906856,2.372653007507324
128,Syn_n_50000_d_2_seed_4,asc,1.01,5.0,828920.9261315265,89.57030034065247
129,Syn_n_50000_d_2_seed_4,asc,1.01,10.0,828920.0474926343,90.41519665718079
130,Syn_n_50000_d_2_seed_4,asc,1.01,20.0,828920.0474926343,89.91531920433044
131,Syn_n_50000_d_2_seed_4,asc,1.01,50.0,828920.0474926343,92.69639587402344
132,Syn_n_50000_d_2_seed_4,asc,1.05,5.0,828925.7368752804,27.937231063842773
133,Syn_n_50000_d_2_seed_4,asc,1.05,10.0,828920.0474926347,31.74145770072937
134,Syn_n_50000_d_2_seed_4,asc,1.05,20.0,828920.0474926347,33.01948571205139
